id,created_at,added_at,title,url,max_score,max_comments
47926128,1777317960,1777600800,Show HN: What happens when you load a webpage (Interactive),https://toolkit.whysonil.dev/how-it-works/internet-timeline/,31,8
47927011,1777322302,1777615200,"Softmax, can you derive the Jacobian? And should you care?",https://idlemachines.co.uk/essays/softmax,133,47
47939149,1777403566,1777690800,Sourcefeed – a pop-up RSS service,https://www.sourcefeed.app/,34,9
47939246,1777403946,1777604400,I Got Sick of Remembering Port Numbers,https://gregraiz.com/blog/local-vibe/,144,156
47941019,1777411479,1777593600,The Accidental Ancestor – How Verifying Numbers Shaped Modern Hashing,https://0xkrt26.github.io/math_behind_security/2026/04/28/the-accidental-ancestor-Luhn-algorithm.html,22,0
47942863,1777423815,1777597200,Maladaptive Frugality,https://herbertlui.net/maladaptive-frugality/,223,308
47944409,1777439597,1777683600,Tvheadend: Self-Hosted IPTV Server,https://tvheadend.org,40,13
47948152,1777469327,1777608000,Roboticist-Turned-Teacher Built a Life-Size Replica of Eniac,https://spectrum.ieee.org/roboticist-turned-teacher-eniac-replica,64,14
47948526,1777470888,1777734000,Barman – Backup and Recovery Manager for PostgreSQL,https://github.com/EnterpriseDB/barman,184,26
47949066,1777473440,1777716000,Show HN: DAC – open-source dashboard as code tool for agents and humans,https://github.com/bruin-data/dac,118,36
47950070,1777477698,1777672800,The Smelly Baby Problem,https://www.worksinprogress.news/p/how-disposable-diapers-conquered,213,144
47950993,1777481353,1777708800,The USB Situation,https://randsinrepose.com/archives/the-usb-situation/,161,229
47952096,1777486015,1777669200,Historic Tennessee Hotel Is Also Home to the Greatest Duck Tradition (2016),https://www.audubon.org/magazine/tennessees-most-historic-hotel-also-home-greatest-duck-tradition,33,4
47952773,1777489117,1777687200,Direct electrochemical black coffee quality appraisal using cyclic voltammetry,https://www.nature.com/articles/s41467-026-71526-5,62,36
47953347,1777491458,1777737600,Why IPv6 is so complicated,https://github.com/becarpenter/book6/blob/main/01.%20Introduction%20and%20Foreword/Why%20IPv6%20is%20so%20complicated.md,67,133
47954074,1777494289,1777716000,Show HN: SimDrive – a browser racing game with your phone as the controller:D,https://simdrive.xyz/,21,9
47954394,1777495697,1777680000,Artemis II Photo Timeline,https://artemistimeline.com/#artemis-ii-walkout-nhq202604010003,370,28
47955789,1777503370,1777665600,I've Covered Robots for Years. This One Is Different,https://www.wired.com/story/when-robots-have-their-chatgpt-moment-remember-these-pincers/,171,240
47956028,1777505076,1777644000,Cold-inducible RNA-binding protein makes bowhead whales and flies live longer,https://www.nature.com/articles/s41586-025-09694-5,3,0
47956055,1777505309,1777658400,Engineering tough blood clots for rapid haemostasis and enhanced regeneration,https://www.nature.com/articles/s41586-026-10412-y,11,1
47956671,1777510124,1777658400,Integer Overflow Checking Cost,https://danluu.com/integer-overflow/,40,15
47957299,1777515423,1777611600,"Three Cobblers, One Zhuge Liang: Making Cheaper Models Work Together",https://markhuang.ai/blog/three-cobblers-one-zhuge-liang-ai-architecture,5,0
47957648,1777518942,1777698000,LFM2-24B-A2B: Scaling Up the LFM2 Architecture,https://www.liquid.ai/blog/lfm2-24b-a2b,60,14
47958186,1777524095,1777676400,The Shadow Glass,https://morrigan-tech.com/blog/the-shadow-glass/,14,1
47958759,1777529154,1777644000,"Guess at lost Bitcoin, right in the browser",https://satoshiguesser.com,3,1
47958944,1777530653,1777705200,A Gopher Meets a Crab,https://miren.dev/blog/gopher-meets-crab,47,69
47959907,1777539365,1777644000,Chasing a SharedKey signature mismatch: fix azurerm_storage_table_entity,https://topaz.thecloudtheory.com/blog/debugging-table-entity-auth/,16,7
47960015,1777540343,1777658400,Inventions for battery reuse and recycling increase more than 7-fold in last 10y,https://www.epo.org/en/news-events/news/inventions-battery-reuse-and-recycling-increase-more-seven-fold-last-decade,244,42
47960108,1777541317,1777658400,I Built SpecDD Because AI Kept Forgetting What We Were Building,https://specdd.ai/articles/i-built-specdd-because-ai-kept-forgetting-what-we-were-building/,23,8
47961100,1777549862,1777712400,Bitmap and tilemap generation from a single example,https://github.com/mxgmn/WaveFunctionCollapse,81,14
47961208,1777550618,1777658400,"Tar files made in macOS generate ""xattr"" errors when expanded in Linux",https://aruljohn.com/blog/macos-created-tar-files-linux-errors/,153,104
47961766,1777554100,1777644000,"Encrypted Client Hello (ECH) Is Done, but Can We Make It Work?",https://www.feistyduck.com/newsletter/issue_136_ech_is_done_but_can_we_make_it_work,4,0
47961935,1777554904,1777658400,"Show HN: Pollen – distributed WASM runtime, no control plane, single binary",https://github.com/sambigeara/pollen,136,63
47962271,1777556325,1777744800,Also-RANS: Asymmetric Numeral Systems for Entropy Coding,https://fergusfinn.com/blog/understanding-rans/,24,0
47962645,1777557686,1777658400,The IBM Granite 4.1 family of models,https://research.ibm.com/blog/granite-4-1-ai-foundation-models,85,16
47962681,1777557823,1777748400,Little Magazines Are Back,https://wsjfreeexpression.substack.com/p/little-magazines-are-back,111,40
47962807,1777558332,1777597200,"March in Servo: keyboard navigation, better debugging, FreeBSD support, and more",https://servo.org/blog/2026/04/30/march-in-servo/,6,0
47963058,1777559306,1777597200,"Microsoft open-sources ""the earliest DOS source code discovered to date""",https://arstechnica.com/gadgets/2026/04/microsoft-open-sources-the-earliest-dos-source-code-discovered-to-date/,7,0
47963542,1777561132,1777597200,Solar Eclipse Map,https://dojo.amcharts.com/solar-eclipses/,4,2
47964122,1777563444,1777604400,AI Terminology Is Poorly Defined and Oft Misused,https://vale.rocks/posts/ai-terminology,7,0
47964404,1777564608,1777730400,Thoughts on Historical Language Models and Talkie-1930,https://resobscura.substack.com/p/are-vintage-llms-the-start-of-a-new,17,3
47964595,1777565301,1777608000,"Sev: A graphical Emacs-like text editor, scriptable with Chibi-Scheme",https://github.com/dylancobb/sev,28,0
47964957,1777566804,1777658400,Dotcl: Common Lisp Implementation on .NET,https://github.com/dotcl/dotcl,185,47
47966041,1777571929,1777597200,The invisible force making food less nutritious,https://www.washingtonpost.com/climate-environment/interactive/2026/carbon-pollution-diluting-key-nutrients-food/,6,1
47966084,1777572074,1777723200,SFO Gate Explorer,https://www.flysfo.com/passengers/services/gate-explorer,47,39
